start_sec,end_sec,duration,similarity,prototype,source_file,segment_filename
422.466,436.158,13.692000000000007,0.9590741395950317,19,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\9D00xkJM2ww.wav,9D00xkJM2ww_1.wav
355.874,368.702,12.827999999999975,0.9531190395355225,19,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\9D00xkJM2ww.wav,9D00xkJM2ww_2.wav
589.218,596.798,7.580000000000041,0.9525525569915771,19,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\9D00xkJM2ww.wav,9D00xkJM2ww_3.wav
234.434,240.638,6.204000000000008,0.9476022124290466,6,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\eUFVxaNfhzA.wav,eUFVxaNfhzA_1.wav
285.506,297.246,11.740000000000009,0.946463406085968,2,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\eUFVxaNfhzA.wav,eUFVxaNfhzA_2.wav
637.762,647.838,10.076000000000022,0.9448042511940002,19,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\9D00xkJM2ww.wav,9D00xkJM2ww_4.wav
78.114,90.43,12.316000000000003,0.9447235465049744,19,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\7kB_BvGGN6s.wav,7kB_BvGGN6s_1.wav
435.874,448.702,12.827999999999975,0.9433045387268066,7,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\7kB_BvGGN6s.wav,7kB_BvGGN6s_2.wav
231.682,243.71,12.02800000000002,0.941377580165863,19,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\9D00xkJM2ww.wav,9D00xkJM2ww_5.wav
595.81,604.83,9.020000000000095,0.9408397674560547,7,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\R6g946lCMPs.wav,R6g946lCMPs_1.wav
890.658,900.414,9.755999999999972,0.9407424926757812,2,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\eUFVxaNfhzA.wav,eUFVxaNfhzA_3.wav
523.234,529.95,6.716000000000008,0.9406266808509827,1,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\S18XXLEo6uE.wav,S18XXLEo6uE_1.wav
159.682,173.214,13.53200000000001,0.9402599334716797,7,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\7kB_BvGGN6s.wav,7kB_BvGGN6s_3.wav
1077.506,1086.174,8.667999999999893,0.9402429461479187,9,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\S18XXLEo6uE.wav,S18XXLEo6uE_2.wav
3584.706,3589.598,4.891999999999825,0.940010130405426,7,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\Xs286Xdd4Nc.wav,Xs286Xdd4Nc_1.wav
662.146,666.878,4.732000000000085,0.9398422837257385,7,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\R6g946lCMPs.wav,R6g946lCMPs_2.wav
5297.282,5309.95,12.667999999999665,0.939019501209259,17,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\qXHma6XYctI.wav,qXHma6XYctI_1.wav
314.946,323.966,9.019999999999982,0.9386703968048096,9,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\jRU0twOCBeQ.wav,jRU0twOCBeQ_1.wav
5052.482,5063.806,11.323999999999614,0.9386559724807739,17,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\qXHma6XYctI.wav,qXHma6XYctI_2.wav
1099.522,1103.774,4.251999999999953,0.9386247992515564,17,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\S18XXLEo6uE.wav,S18XXLEo6uE_3.wav
189.89,197.022,7.132000000000005,0.9385316967964172,19,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\7kB_BvGGN6s.wav,7kB_BvGGN6s_4.wav
473.538,479.166,5.627999999999986,0.9382096529006958,7,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\7kB_BvGGN6s.wav,7kB_BvGGN6s_5.wav
3635.522,3647.71,12.188000000000102,0.9381923079490662,19,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\jRU0twOCBeQ.wav,jRU0twOCBeQ_2.wav
1137.89,1149.502,11.611999999999853,0.9378169178962708,9,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\ONBa0kwBjmQ.wav,ONBa0kwBjmQ_1.wav
2958.21,2964.446,6.235999999999876,0.9368910193443298,5,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\ZL8rrh9cEQk.wav,ZL8rrh9cEQk_1.wav
785.922,792.094,6.1720000000000255,0.9368834495544434,12,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\ZL8rrh9cEQk.wav,ZL8rrh9cEQk_2.wav
86.786,95.806,9.019999999999996,0.9367442727088928,7,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\fMfos_YBT0o.wav,fMfos_YBT0o_1.wav
208.45,215.998,7.548000000000002,0.936234176158905,17,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\7kB_BvGGN6s.wav,7kB_BvGGN6s_6.wav
3971.234,3978.686,7.4520000000002256,0.9359300136566162,9,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\ZL8rrh9cEQk.wav,ZL8rrh9cEQk_3.wav
256.418,262.558,6.139999999999986,0.9357060194015503,7,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\9D00xkJM2ww.wav,9D00xkJM2ww_6.wav
269.122,277.63,8.507999999999981,0.9351798295974731,7,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\5PJoMB03vwI.wav,5PJoMB03vwI_1.wav
576.13,584.766,8.635999999999967,0.9351481795310974,19,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\qXHma6XYctI.wav,qXHma6XYctI_3.wav
813.25,821.47,8.220000000000027,0.9351373910903931,18,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\7kB_BvGGN6s.wav,7kB_BvGGN6s_7.wav
308.77,321.95,13.180000000000007,0.934934139251709,19,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\5RbEHUr5ezA.wav,5RbEHUr5ezA_1.wav
467.586,480.574,12.988,0.9347560405731201,19,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\9D00xkJM2ww.wav,9D00xkJM2ww_7.wav
1710.178,1722.718,12.539999999999964,0.9345250725746155,7,A:\A _ Working\Researching\B - AIoT Lab VN\VITOSA\another_test\Get_More\audio\5RbEHUr5ezA.wav,5RbEHUr5ezA_2.wav
